station_complex_id,dow,hora,ridership
10,5,13,7879
10,5,14,9585
10,5,15,13367
10,5,16,19482
10,5,17,34373
10,5,18,24314
10,5,19,13853
10,5,20,9391
10,5,21,8491
10,5,22,9075
10,5,23,6368
10,6,0,3508
10,6,1,1483
10,6,2,662
10,6,3,442
10,6,4,339
10,6,5,255
10,6,6,415
10,6,7,767
10,6,8,1361
10,6,9,2600
10,6,10,3398
10,6,11,4094
10,6,12,4168
10,6,13,4674
10,6,14,5468
10,6,15,6433
10,6,16,8806
10,6,17,8219
10,6,18,6773
10,6,19,5879
10,6,20,5611
10,6,21,5492
10,6,22,8232
10,6,23,5741
100,0,0,393
100,0,1,241
100,0,2,151
100,0,3,80
100,0,4,76
100,0,5,98
100,0,6,177
100,0,7,328
100,0,8,567
100,0,9,933
100,0,10,1325
100,0,11,1603
100,0,12,1674
100,0,13,1717
100,0,14,1617
100,0,15,1640
100,0,16,1632
100,0,17,1539
100,0,18,1335
100,0,19,947
100,0,20,680
100,0,21,599
100,0,22,555
100,0,23,335
100,1,0,198
100,1,1,87
100,1,2,45
100,1,3,45
100,1,4,102
100,1,5,336
100,1,6,750
100,1,7,1574
100,1,8,4004
100,1,9,2715
100,1,10,1263
100,1,11,1059
100,1,12,1057
100,1,13,1118
100,1,14,1488
100,1,15,1395
100,1,16,1694
100,1,17,1719
100,1,18,1454
100,1,19,1089
100,1,20,750
100,1,21,532
100,1,22,406
100,1,23,255
100,2,0,172
100,2,1,73
100,2,2,18
100,2,3,51
100,2,4,102
100,2,5,309
100,2,6,913
100,2,7,1945
100,2,8,4735
100,2,9,3226
100,2,10,1383
100,2,11,1048
100,2,12,960
100,2,13,1070
100,2,14,1224
100,2,15,1693
100,2,16,1621
100,2,17,1833
100,2,18,1423
100,2,19,1056
100,2,20,753
100,2,21,509
100,2,22,371
100,2,23,266
100,3,0,248
100,3,1,165
100,3,2,82
100,3,3,84
100,3,4,135
100,3,5,320
100,3,6,970
100,3,7,1971
100,3,8,4850
100,3,9,3354
100,3,10,1385
100,3,11,1163
100,3,12,999
100,3,13,1201
100,3,14,1494
100,3,15,1567
100,3,16,1794
100,3,17,1918
100,3,18,1561
100,3,19,1173
100,3,20,982
100,3,21,645
100,3,22,509
100,3,23,322
100,4,0,216
100,4,1,75
100,4,2,42
100,4,3,45
100,4,4,135
100,4,5,322
100,4,6,941
100,4,7,2078
100,4,8,5155
100,4,9,3629
100,4,10,1457
100,4,11,1130
100,4,12,995
100,4,13,1133
100,4,14,1371
100,4,15,1807
100,4,16,1963
100,4,17,2185
100,4,18,1786
100,4,19,1303
100,4,20,967
100,4,21,639
100,4,22,590
100,4,23,416
100,5,0,255
100,5,1,94
100,5,2,45
100,5,3,65
100,5,4,104
100,5,5,333
100,5,6,871
100,5,7,1909
100,5,8,4784
100,5,9,3311
100,5,10,1520
100,5,11,1203
100,5,12,1261
100,5,13,1522
100,5,14,1720
100,5,15,2208
100,5,16,2206
100,5,17,1935
100,5,18,1436
100,5,19,1166
100,5,20,1054
100,5,21,855
100,5,22,728
100,5,23,524
100,6,0,359
100,6,1,206
100,6,2,92
100,6,3,80
100,6,4,91
100,6,5,156
100,6,6,279
100,6,7,624
100,6,8,1071
100,6,9,1356
100,6,10,1555
100,6,11,1698
100,6,12,1866
100,6,13,1913
100,6,14,1838
100,6,15,1767
100,6,16,1762
100,6,17,1739
100,6,18,1844
100,6,19,1591
100,6,20,1260
100,6,21,927
100,6,22,711
100,6,23,693
101,0,0,2431
101,0,1,1417
101,0,2,1031
101,0,3,614
101,0,4,491
101,0,5,385
101,0,6,575
101,0,7,1117
101,0,8,1836
101,0,9,2541
101,0,10,3429
101,0,11,4650
101,0,12,5060
101,0,13,5860
101,0,14,6050
101,0,15,6526
101,0,16,6555
101,0,17,6217
101,0,18,5746
101,0,19,4115
101,0,20,3223
101,0,21,2482
101,0,22,2393
